Pillar,Task ID,Title,Description,Status,Priority,Tags,Example,Due Date
BUILD,BUILD-001,Stripe Webhook fixen,Fix Stripe webhook integration for payment processing,in_progress,high,"stripe,backend,webhook",Stripe Webhook fixen,2025-11-15
BUILD,BUILD-002,Deploy testen,Test deployment pipeline on Vercel,pending,high,"deployment,vercel,ci-cd",Deploy testen,2025-11-16
BUILD,BUILD-003,Security Checks implementieren,Implement CSP HTTPS and RBAC security measures,pending,high,"security,compliance",,2025-11-17
BUILD,BUILD-004,A11y Testing einrichten,Set up accessibility testing with axe-core,pending,medium,"accessibility,testing",,2025-11-25
PAYMENT,PAYMENT-001,Instant Payment aktivieren,Enable instant payment functionality in Stripe,pending,high,"stripe,payment,instant-payment",Instant Payment aktivieren,2025-11-18
PAYMENT,PAYMENT-002,Checkout-Link einrichten,Set up Stripe Checkout link for subscriptions,pending,high,"stripe,checkout,subscription",Checkout-Link einrichten,2025-11-19
PAYMENT,PAYMENT-003,DSGVO-Compliance prüfen,Verify GDPR compliance for payment processing,pending,high,"compliance,gdpr,legal",,2025-11-20
PAYMENT,PAYMENT-004,Preismodell definieren,Define pricing tiers and subscription models,pending,medium,"business,pricing",,2025-11-26
YOUTUBE,YOUTUBE-001,Short drehen,Create YouTube Short for product launch,pending,high,"video,marketing,content",Short drehen,2025-11-21
YOUTUBE,YOUTUBE-002,Community-Post mit Stripe-Link,Create community post with Stripe payment link,pending,high,"community,marketing,stripe",Community-Post mit Stripe-Link,2025-11-22
YOUTUBE,YOUTUBE-003,Launch-Video produzieren,Produce main launch video explaining YONI platform,pending,medium,"video,launch,content",,2025-11-27
YOUTUBE,YOUTUBE-004,Social Media Kampagne,Plan and execute social media campaign,pending,medium,"social-media,marketing",,2025-11-28
